Time,Event context,Component,Event name,Description,Origin,IP address
"30/10/18, 17:37",File: Списък курсови задачи,File,Course module viewed,The user with id '7091' viewed the 'resource' activity with course module id '1084'.,web,95.42.16.29
"30/10/18, 17:37",File: Списък курсови задачи,File,Course module viewed,The user with id '7091' viewed the 'resource' activity with course module id '1084'.,web,95.42.16.29
"30/10/18, 17:37",Course: Програмни езици,System,Course viewed,The user with id '7091' viewed the course with id '49'.,web,95.42.16.29
"30/10/18, 17:35",File: Списък на студентите за получаване на проекти за освобождаване от изпит по ПЕ (2018-2019),File,Course module viewed,The user with id '7091' viewed the 'resource' activity with course module id '5104'.,web,95.42.16.29
"30/10/18, 17:35",File: Списък на студентите за получаване на проекти за освобождаване от изпит по ПЕ (2018-2019),File,Course module viewed,The user with id '7091' viewed the 'resource' activity with course module id '5104'.,web,95.42.16.29
"30/10/18, 17:34",Course: Програмни езици,System,Course viewed,The user with id '7091' viewed the course with id '49'.,web,95.42.16.29
"30/10/18, 17:34",Course: Програмни езици,System,Course viewed,The user with id '7091' viewed the course with id '49'.,web,95.42.16.29
"30/10/18, 15:17",Course: Програмни езици,System,Course viewed,The user with id '2' viewed the course with id '49'.,web,62.44.101.78
"30/10/18, 15:17",File: Лекция 9,File,Course module viewed,The user with id '2' viewed the 'resource' activity with course module id '1590'.,web,62.44.101.78
"30/10/18, 15:17",File: Лекция 9,System,Course module updated,The user with id '2' updated the 'resource' activity with course module id '1590'.,web,62.44.101.78
"30/10/18, 15:17",Course: Програмни езици,System,Course viewed,The user with id '2' viewed the course with id '49'.,web,62.44.101.78
"30/10/18, 15:16",Course: Програмни езици,System,Course viewed,The user with id '2' viewed the course with id '49'.,web,62.44.101.78
"30/10/18, 15:16",File: Лекция 9,System,Course module updated,The user with id '2' updated the 'resource' activity with course module id '1590'.,web,62.44.101.78
"30/10/18, 15:16",Course: Програмни езици,System,Course viewed,The user with id '2' viewed the course with id '49'.,web,62.44.101.78
"30/10/18, 15:16",File: Лекция 7,File,Course module viewed,The user with id '2' viewed the 'resource' activity with course module id '1588'.,web,62.44.101.78
"30/10/18, 15:16",Course: Програмни езици,System,Course viewed,The user with id '2' viewed the course with id '49'.,web,62.44.101.78
"30/10/18, 15:16",File: Лекция 8,File,Course module viewed,The user with id '2' viewed the 'resource' activity with course module id '1589'.,web,62.44.101.78
"30/10/18, 15:16",File: Лекция 8,System,Course module updated,The user with id '2' updated the 'resource' activity with course module id '1589'.,web,62.44.101.78
"30/10/18, 15:16",Course: Програмни езици,System,Course viewed,The user with id '2' viewed the course with id '49'.,web,62.44.101.78
"30/10/18, 15:16",File: Лекция 8,System,Course module updated,The user with id '2' updated the 'resource' activity with course module id '1589'.,web,62.44.101.78
"30/10/18, 15:15",File: Лекция 7,System,Course module updated,The user with id '2' updated the 'resource' activity with course module id '1588'.,web,62.44.101.78
"30/10/18, 15:15",Course: Програмни езици,System,Course viewed,The user with id '2' viewed the course with id '49'.,web,62.44.101.78
"30/10/18, 15:15",File: Лекция 7,File,Course module viewed,The user with id '2' viewed the 'resource' activity with course module id '1588'.,web,62.44.101.78
"30/10/18, 15:14",Course: Програмни езици,System,Course viewed,The user with id '2' viewed the course with id '49'.,web,62.44.101.78
"30/10/18, 15:14",Course: Програмни езици,System,Course viewed,The user with id '2' viewed the course with id '49'.,web,62.44.101.78
"30/10/18, 15:14",File: Лекция 6,File,Course module viewed,The user with id '2' viewed the 'resource' activity with course module id '1587'.,web,62.44.101.78
"30/10/18, 15:14",Course: Програмни езици,System,Course viewed,The user with id '2' viewed the course with id '49'.,web,62.44.101.78
"30/10/18, 15:14",File: Лекция 7,System,Course module updated,The user with id '2' updated the 'resource' activity with course module id '1588'.,web,62.44.101.78
"30/10/18, 15:13",Course: Програмни езици,System,Course viewed,The user with id '2' viewed the course with id '49'.,web,62.44.101.78
"30/10/18, 15:13",Course: Програмни езици,System,Course viewed,The user with id '2' viewed the course with id '49'.,web,62.44.101.78
"30/10/18, 15:13",File: Лекция 5,File,Course module viewed,The user with id '2' viewed the 'resource' activity with course module id '1579'.,web,62.44.101.78
"30/10/18, 15:13",Course: Програмни езици,System,Course viewed,The user with id '2' viewed the course with id '49'.,web,62.44.101.78
"30/10/18, 15:13",File: Лекция 6,File,Course module viewed,The user with id '2' viewed the 'resource' activity with course module id '1587'.,web,62.44.101.78
"30/10/18, 15:13",Course: Програмни езици,System,Course viewed,The user with id '2' viewed the course with id '49'.,web,62.44.101.78
"30/10/18, 13:23",Course: Програмни езици,System,Course viewed,The user with id '7126' viewed the course with id '49'.,web,78.90.46.185
"30/10/18, 12:37",Course: Програмни езици,System,Course viewed,The user with id '7035' viewed the course with id '49'.,web,212.39.89.214
"30/10/18, 12:37",Course: Програмни езици,System,Course viewed,The user with id '7035' viewed the course with id '49'.,web,212.39.89.214
"30/10/18, 10:04",File: Примерна задача за изпит,File,Course module viewed,The user with id '7286' viewed the 'resource' activity with course module id '905'.,web,149.62.205.125
"30/10/18, 10:04",Course: Програмни езици,System,Course viewed,The user with id '7286' viewed the course with id '49'.,web,149.62.205.125
"30/10/18, 09:31",Course: Програмни езици,System,Course viewed,The user with id '7203' viewed the course with id '49'.,web,81.161.243.115
"30/10/18, 09:05",File: Упражнение 2,File,Course module viewed,The user with id '7203' viewed the 'resource' activity with course module id '732'.,web,81.161.243.115
"30/10/18, 09:05",Course: Програмни езици,System,Course viewed,The user with id '7203' viewed the course with id '49'.,web,81.161.243.115
"30/10/18, 09:05",File: Упражнение 2,File,Course module viewed,The user with id '7203' viewed the 'resource' activity with course module id '732'.,web,81.161.243.115
"30/10/18, 09:05",Course: Програмни езици,System,Course viewed,The user with id '7203' viewed the course with id '49'.,web,81.161.243.115
"29/10/18, 21:28",Course: Програмни езици,System,Course viewed,The user with id '7241' viewed the course with id '49'.,web,77.70.26.251
"29/10/18, 21:17",File: Примерна задача за изпит,File,Course module viewed,The user with id '7241' viewed the 'resource' activity with course module id '905'.,web,77.70.26.251
"29/10/18, 21:17",Course: Програмни езици,System,Course viewed,The user with id '7241' viewed the course with id '49'.,web,77.70.26.251
"29/10/18, 21:16",File: Примерна задача за изпит,File,Course module viewed,The user with id '7241' viewed the 'resource' activity with course module id '905'.,web,77.70.26.251
"29/10/18, 21:16",Course: Програмни езици,System,Course viewed,The user with id '7241' viewed the course with id '49'.,web,77.70.26.251
"29/10/18, 21:16",File: Лекция 1,File,Course module viewed,The user with id '7241' viewed the 'resource' activity with course module id '708'.,web,77.70.26.251
"29/10/18, 21:16",Course: Програмни езици,System,Course viewed,The user with id '7241' viewed the course with id '49'.,web,77.70.26.251
"29/10/18, 21:15",Forum: Новинарски форум,Forum,Discussion viewed,The user with id '7241' has viewed the discussion with id '209' in the forum with course module id '81'.,web,77.70.26.251
"29/10/18, 21:15",Course: Програмни езици,System,Course viewed,The user with id '7241' viewed the course with id '49'.,web,77.70.26.251
"29/10/18, 21:15",File: Списък курсови задачи,File,Course module viewed,The user with id '7241' viewed the 'resource' activity with course module id '1084'.,web,77.70.26.251
"29/10/18, 21:15",Course: Програмни езици,System,Course viewed,The user with id '7241' viewed the course with id '49'.,web,77.70.26.251
"29/10/18, 21:15",File: Списък на студентите за получаване на проекти за освобождаване от изпит по ПЕ (2018-2019),File,Course module viewed,The user with id '7241' viewed the 'resource' activity with course module id '5104'.,web,77.70.26.251
"29/10/18, 21:14",Course: Програмни езици,System,Course viewed,The user with id '7241' viewed the course with id '49'.,web,77.70.26.251
"29/10/18, 10:01",File: Упражнение 4,File,Course module viewed,The user with id '7158' viewed the 'resource' activity with course module id '734'.,web,94.155.72.232
"29/10/18, 10:01",Course: Програмни езици,System,Course viewed,The user with id '7158' viewed the course with id '49'.,web,94.155.72.232
"29/10/18, 10:01",File: Упражнение 3,File,Course module viewed,The user with id '7158' viewed the 'resource' activity with course module id '733'.,web,94.155.72.232
"29/10/18, 10:01",Course: Програмни езици,System,Course viewed,The user with id '7158' viewed the course with id '49'.,web,94.155.72.232
"29/10/18, 10:00",File: Упражнение 2,File,Course module viewed,The user with id '7158' viewed the 'resource' activity with course module id '732'.,web,94.155.72.232
"29/10/18, 10:00",Course: Програмни езици,System,Course viewed,The user with id '7158' viewed the course with id '49'.,web,94.155.72.232
"28/10/18, 19:06",File: Лекция 1,File,Course module viewed,The user with id '7158' viewed the 'resource' activity with course module id '708'.,web,83.148.87.46
"28/10/18, 19:06",Course: Програмни езици,System,Course viewed,The user with id '7158' viewed the course with id '49'.,web,83.148.87.46
"28/10/18, 19:05",File: Упражнение 1,File,Course module viewed,The user with id '7158' viewed the 'resource' activity with course module id '731'.,web,83.148.87.46
"28/10/18, 19:05",Course: Програмни езици,System,Course viewed,The user with id '7158' viewed the course with id '49'.,web,83.148.87.46
"28/10/18, 19:05",File: Списък на студентите за получаване на проекти за освобождаване от изпит по ПЕ (2018-2019),File,Course module viewed,The user with id '7158' viewed the 'resource' activity with course module id '5104'.,web,83.148.87.46
"28/10/18, 19:05",Course: Програмни езици,System,Course viewed,The user with id '7158' viewed the course with id '49'.,web,83.148.87.46
"28/10/18, 18:45",Course: Програмни езици,System,Course viewed,The user with id '7184' viewed the course with id '49'.,web,149.62.200.138
"28/10/18, 11:45",Course: Програмни езици,System,Course viewed,The user with id '7284' viewed the course with id '49'.,web,78.90.105.200
"28/10/18, 11:45",File: Списък курсови задачи,File,Course module viewed,The user with id '7284' viewed the 'resource' activity with course module id '1084'.,web,78.90.105.200
"28/10/18, 11:45",Course: Програмни езици,System,Course viewed,The user with id '7284' viewed the course with id '49'.,web,78.90.105.200
"28/10/18, 11:44",File: Списък на студентите за получаване на проекти за освобождаване от изпит по ПЕ (2018-2019),File,Course module viewed,The user with id '7284' viewed the 'resource' activity with course module id '5104'.,web,78.90.105.200
"28/10/18, 09:30",File: Списък курсови задачи,File,Course module viewed,The user with id '7269' viewed the 'resource' activity with course module id '1084'.,web,78.90.22.215
"28/10/18, 09:29",Course: Програмни езици,System,Course viewed,The user with id '7269' viewed the course with id '49'.,web,78.90.22.215
"27/10/18, 20:05",Course: Програмни езици,System,Course viewed,The user with id '7135' viewed the course with id '49'.,web,46.10.132.229
"27/10/18, 20:05",File: Конспект 2017-2018,File,Course module viewed,The user with id '7135' viewed the 'resource' activity with course module id '4808'.,web,46.10.132.229
"27/10/18, 20:05",Course: Програмни езици,System,Course viewed,The user with id '7135' viewed the course with id '49'.,web,46.10.132.229
"27/10/18, 20:04",File: Списък на студентите за получаване на проекти за освобождаване от изпит по ПЕ (2018-2019),File,Course module viewed,The user with id '7135' viewed the 'resource' activity with course module id '5104'.,web,46.10.132.229
"27/10/18, 20:04",Course: Програмни езици,System,Course viewed,The user with id '7135' viewed the course with id '49'.,web,46.10.132.229
"27/10/18, 19:18",File: Упражнение 1,File,Course module viewed,The user with id '7269' viewed the 'resource' activity with course module id '731'.,web,78.90.22.215
"27/10/18, 19:18",Course: Програмни езици,System,Course viewed,The user with id '7269' viewed the course with id '49'.,web,78.90.22.215
"27/10/18, 14:10",Course: Програмни езици,System,Course viewed,The user with id '7284' viewed the course with id '49'.,web,78.90.105.200
"27/10/18, 14:10",File: Лекция  3,File,Course module viewed,The user with id '7284' viewed the 'resource' activity with course module id '710'.,web,78.90.105.200
"27/10/18, 14:10",Course: Програмни езици,System,Course viewed,The user with id '7284' viewed the course with id '49'.,web,78.90.105.200
"27/10/18, 14:10",File: Упражнение 1,File,Course module viewed,The user with id '7284' viewed the 'resource' activity with course module id '731'.,web,78.90.105.200
"27/10/18, 14:10",Course: Програмни езици,System,Course viewed,The user with id '7284' viewed the course with id '49'.,web,78.90.105.200
"27/10/18, 14:09",File: Лекция 1,File,Course module viewed,The user with id '7284' viewed the 'resource' activity with course module id '708'.,web,78.90.105.200
"27/10/18, 14:08",File: Лекция 2,File,Course module viewed,The user with id '7271' viewed the 'resource' activity with course module id '709'.,web,78.90.105.141
"27/10/18, 14:08",Course: Програмни езици,System,Course viewed,The user with id '7271' viewed the course with id '49'.,web,78.90.105.141
"27/10/18, 14:07",File: Списък на студентите за получаване на проекти за освобождаване от изпит по ПЕ (2018-2019),File,Course module viewed,The user with id '7271' viewed the 'resource' activity with course module id '5104'.,web,78.90.105.141
"27/10/18, 14:07",Course: Програмни езици,System,Course viewed,The user with id '7271' viewed the course with id '49'.,web,78.90.105.141
"27/10/18, 14:07",File: Лекция 2,File,Course module viewed,The user with id '7271' viewed the 'resource' activity with course module id '709'.,web,78.90.105.141
"27/10/18, 14:07",Course: Програмни езици,System,Course viewed,The user with id '7271' viewed the course with id '49'.,web,78.90.105.141
"27/10/18, 14:06",Course: Програмни езици,System,Course viewed,The user with id '7284' viewed the course with id '49'.,web,78.90.105.200
"27/10/18, 14:05",File: Лекция 1,File,Course module viewed,The user with id '7271' viewed the 'resource' activity with course module id '708'.,web,78.90.105.141
"27/10/18, 13:55",File: Примерна задача за изпит,File,Course module viewed,The user with id '7284' viewed the 'resource' activity with course module id '905'.,web,78.90.105.200
"27/10/18, 13:54",Course: Програмни езици,System,Course viewed,The user with id '7284' viewed the course with id '49'.,web,78.90.105.200
"27/10/18, 13:48",Course: Програмни езици,System,Course viewed,The user with id '7271' viewed the course with id '49'.,web,78.90.105.141
"27/10/18, 13:48",File: Пример,File,Course module viewed,The user with id '7271' viewed the 'resource' activity with course module id '1595'.,web,78.90.105.141
"27/10/18, 13:48",Course: Програмни езици,System,Course viewed,The user with id '7271' viewed the course with id '49'.,web,78.90.105.141
"27/10/18, 13:48",File: Упражнение 1,File,Course module viewed,The user with id '7271' viewed the 'resource' activity with course module id '731'.,web,78.90.105.141
"27/10/18, 13:48",Course: Програмни езици,System,Course viewed,The user with id '7271' viewed the course with id '49'.,web,78.90.105.141
"27/10/18, 13:48",File: Лекция 6,File,Course module viewed,The user with id '7271' viewed the 'resource' activity with course module id '1587'.,web,78.90.105.141
"27/10/18, 13:47",Course: Програмни езици,System,Course viewed,The user with id '7271' viewed the course with id '49'.,web,78.90.105.141
"27/10/18, 13:47",Course: Програмни езици,System,Course viewed,The user with id '7271' viewed the course with id '49'.,web,78.90.105.141
"27/10/18, 00:18",Course: Програмни езици,System,Course viewed,The user with id '7077' viewed the course with id '49'.,web,212.5.33.6
"27/10/18, 00:18",File: Лекция 6,File,Course module viewed,The user with id '7077' viewed the 'resource' activity with course module id '1587'.,web,212.5.33.6
"27/10/18, 00:18",Course: Програмни езици,System,Course viewed,The user with id '7077' viewed the course with id '49'.,web,212.5.33.6
"27/10/18, 00:18",File: Лекция 4,File,Course module viewed,The user with id '7077' viewed the 'resource' activity with course module id '1578'.,web,212.5.33.6
"27/10/18, 00:18",Course: Програмни езици,System,Course viewed,The user with id '7077' viewed the course with id '49'.,web,212.5.33.6
"27/10/18, 00:18",File: Лекция  3,File,Course module viewed,The user with id '7077' viewed the 'resource' activity with course module id '710'.,web,212.5.33.6
"27/10/18, 00:18",Course: Програмни езици,System,Course viewed,The user with id '7077' viewed the course with id '49'.,web,212.5.33.6
"27/10/18, 00:17",File: Лекция 2,File,Course module viewed,The user with id '7077' viewed the 'resource' activity with course module id '709'.,web,212.5.33.6
"27/10/18, 00:17",Course: Програмни езици,System,Course viewed,The user with id '7077' viewed the course with id '49'.,web,212.5.33.6
"27/10/18, 00:12",File: Лекция 1,File,Course module viewed,The user with id '7077' viewed the 'resource' activity with course module id '708'.,web,212.5.33.6
"27/10/18, 00:11",Course: Програмни езици,System,Course viewed,The user with id '7077' viewed the course with id '49'.,web,212.5.33.6
"27/10/18, 00:11",Course: Програмни езици,System,Course viewed,The user with id '7077' viewed the course with id '49'.,web,212.5.33.6
"27/10/18, 00:11",Course: Програмни езици,System,Course viewed,The user with id '7077' viewed the course with id '49'.,web,212.5.33.6
"27/10/18, 00:11",File: Списък курсови задачи,File,Course module viewed,The user with id '7077' viewed the 'resource' activity with course module id '1084'.,web,212.5.33.6
"27/10/18, 00:11",Course: Програмни езици,System,Course viewed,The user with id '7077' viewed the course with id '49'.,web,212.5.33.6
"26/10/18, 19:43",Course: Програмни езици,System,Course viewed,The user with id '7159' viewed the course with id '49'.,web,178.254.197.110
"26/10/18, 19:42",File: Примерна задача за изпит,File,Course module viewed,The user with id '7159' viewed the 'resource' activity with course module id '905'.,web,178.254.197.110
"26/10/18, 19:42",Course: Програмни езици,System,Course viewed,The user with id '7159' viewed the course with id '49'.,web,178.254.197.110
"26/10/18, 19:42",File: Пример,File,Course module viewed,The user with id '7159' viewed the 'resource' activity with course module id '1592'.,web,178.254.197.110
"26/10/18, 19:42",Course: Програмни езици,System,Course viewed,The user with id '7159' viewed the course with id '49'.,web,178.254.197.110
"26/10/18, 19:42",File: Упражнение 1,File,Course module viewed,The user with id '7159' viewed the 'resource' activity with course module id '731'.,web,178.254.197.110
"26/10/18, 19:42",Course: Програмни езици,System,Course viewed,The user with id '7159' viewed the course with id '49'.,web,178.254.197.110
"26/10/18, 19:41",File: Списък курсови задачи,File,Course module viewed,The user with id '7159' viewed the 'resource' activity with course module id '1084'.,web,178.254.197.110
"26/10/18, 19:41",Course: Програмни езици,System,Course viewed,The user with id '7159' viewed the course with id '49'.,web,178.254.197.110
"26/10/18, 19:41",File: Списък на студентите за получаване на проекти за освобождаване от изпит по ПЕ (2018-2019),File,Course module viewed,The user with id '7159' viewed the 'resource' activity with course module id '5104'.,web,178.254.197.110
"26/10/18, 19:41",Course: Програмни езици,System,Course viewed,The user with id '7159' viewed the course with id '49'.,web,178.254.197.110
"26/10/18, 19:40",Course: Програмни езици,System,Course viewed,The user with id '7159' viewed the course with id '49'.,web,178.254.197.110
"26/10/18, 18:21",File: Списък курсови задачи,File,Course module viewed,The user with id '7246' viewed the 'resource' activity with course module id '1084'.,web,78.90.22.193
"26/10/18, 18:21",Course: Програмни езици,System,Course viewed,The user with id '7246' viewed the course with id '49'.,web,78.90.22.193
"26/10/18, 16:21",File: Списък курсови задачи,File,Course module viewed,The user with id '7269' viewed the 'resource' activity with course module id '1084'.,web,78.90.22.215
"26/10/18, 16:20",Course: Програмни езици,System,Course viewed,The user with id '7269' viewed the course with id '49'.,web,78.90.22.215
